Jackson;310.746
Jefferson;362.441
Jewell;126.814
Johnson;41.102.504
Kearny;282.941
Kingman;317.374
Kiowa;131.762
Labette;788.036
Lane;215.379
Leavenworth;2.531.222
Lincoln;116.584
Linn;557.019
Logan;160.111
Lyon;1.149.326
McPherson;1.887.724
Marion;352.337
Marshall;450.534
Meade;303.008
Miami;785.894
Mitchell;367.891
Montgomery;1.460.173
Morris;186.558
Morton;113.796
Nemaha;412.590
Neosho;507.463
Ness;175.704
Norton;266.220
Osage;252.101
Osborne;162.551
Ottawa;112.381
Pawnee;439.781
Phillips;346.312
Pottawatomie;1.282.876
Pratt;522.017
Rawlins;126.677
Reno;2.182.506
Republic;240.689
Rice;469.923
Riley;2.513.132
Rooks;220.521
Rush;139.650
Russell;340.960
Saline;2.662.331
Scott;674.061
Sedgwick;28.423.486
Seward;1.266.082
Shawnee;9.224.270
Sheridan;186.024
Sherman;278.199
Smith;141.262
Stafford;208.502
Stanton;183.170
Stevens;331.291
Sumner;645.254
Thomas;458.159
Trego;169.042
Wabaunsee;117.026
Wallace;93.631
Washington;217.562
Wichita;466.876
Wilson;324.439
Woodson;75.029
Wyandotte;10.597.999
Adair;333.416
Allen;442.165
Anderson;457.649
Ballard;195.068
Barren;1.357.773
Bath;159.832
Bell;724.968
Boone;9.025.004
Bourbon;972.190
Boyd;3.446.767
Boyle;1.088.034
Bracken;133.779
Breathitt;232.050
Breckinridge;321.798
Bullitt;2.081.869
Butler;297.702
Caldwell;343.880
Calloway;1.209.562
Campbell;3.024.597
Carlisle;154.472
Carroll;1.711.228
Carter;460.813
Casey;301.386
Christian;5.260.084
Clark;1.339.471
Clay;324.044
Clinton;295.351
Crittenden;193.101
Cumberland;134.905
Daviess;4.093.950
Edmonson;148.684
Elliott;68.386
Estill;188.719
Fayette;18.175.764
Fleming;256.867
Floyd;1.019.488
Franklin;2.816.119
Fulton;182.871
Gallatin;366.264
Garrard;216.663
Grant;460.030
Graves;1.095.503
Grayson;597.280
Green;148.852
Greenup;723.896
Hancock;913.415
Hardin;4.541.642
Harlan;554.950
Harrison;478.261
Hart;483.410
Henderson;1.969.148
Henry;308.157
Hickman;172.519
Hopkins;1.915.921
Jackson;151.331
Jefferson;48.448.704
Jessamine;1.747.116
Johnson;407.377
Kenton;6.578.765
Knott;219.552
Knox;576.941
Larue;198.305
Laurel;1.868.139
Lawrence;303.726
Lee;126.140
Leslie;160.952
Letcher;354.253
Lewis;162.495
Lincoln;344.816
Livingston;257.656
Logan;1.141.031
Lyon;178.529
McCracken;4.036.678
McCreary;227.746
McLean;303.045
Madison;2.755.277
Magoffin;143.070
Marion;735.990
Marshall;1.242.203
Martin;317.836
Mason;1.056.982
Meade;463.809
Menifee;73.134
Mercer;752.364
Metcalfe;159.188
Monroe;284.906
Montgomery;859.908
Morgan;221.021
Muhlenberg;1.263.445
Nelson;1.438.773
Nicholas;79.769
Ohio;890.515
Oldham;1.518.501
Owen;211.213
Owsley;48.787
Pendleton;238.081
Perry;936.901
